Postcode,Suburb,State,LS_Accounts,LS_Value,Population,LS_Accounts_Per_Person,LS_Value_Per_Person,Tax_Population,Tax_Median_Income,Tax_Mean_Income
2087,Forestville (NSW),NSW,308,7278287.58,12290,0.03,592.21,7502,47079,74988
2088,Mosman,NSW,913,24656896.44,27452,0.03,898.18,19521,64448,161579
2089,Kurraba Point,NSW,590,11751635.88,11082,0.05,1060.43,8810,61107,95209
2090,Cremorne (NSW),NSW,520,11066514.11,13023,0.04,849.77,9105,63140,105928
2092,Seaforth (NSW),NSW,179,5562004.22,6728,0.03,826.70,4424,57056,119506
2093,Balgowlah,NSW,618,14596783.12,21611,0.03,675.43,14334,51519,92425
2094,Fairlight,NSW,187,3481516.79,5491,0.03,634.04,4103,59247,91566
2095,Manly (NSW),NSW,735,14775497.2,15074,0.05,980.20,11894,55713,99066
2096,Curl Curl,NSW,547,10424265.99,13875,0.04,751.30,9843,54927,96406
2097,Collaroy (NSW),NSW,373,7278148.49,14388,0.03,505.85,9709,48077,76716
2098,,NSW,8,84705.91,,,,,,
2099,Cromer (NSW),NSW,1179,22086899.81,36685,0.03,602.07,25053,44748,60873
2100,Allambie Heights,NSW,602,12042451.11,19445,0.03,619.31,13302,45334,64553
2101,Elanora Heights,NSW,508,10849670.11,17980,0.03,603.43,12049,46822,66985
2102,Warriewood,NSW,160,3934289.34,6144,0.03,640.35,4252,48195,68014
2103,Mona Vale,NSW,268,5400958.56,10164,0.03,531.38,7167,45035,66394
2104,Bayview (NSW),NSW,57,1852729.87,3091,0.02,599.39,2377,43843,94425
2105,Church Point,NSW,69,2092931.8,1835,0.04,1140.56,1361,44826,92337
2106,Newport (NSW),NSW,252,4904704.19,9036,0.03,542.80,6448,46099,78116
2107,Avalon (NSW),NSW,378,9243279.44,14464,0.03,639.05,9847,43922,77408
2108,Great Mackerel Beach,NSW,55,1255219.67,1900,0.03,660.64,1290,48410,127995
2109,Macquarie Park,NSW,5,180325.1,1789,0.00,100.80,,,
2110,Hunters Hill,NSW,257,8591172.54,9807,0.03,876.02,6025,62610,149761
